Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-16,21.14,133.42,0.9,9.49,18.0,✅ WIN
2024-10-17,18.58,135.4,6.7,7.29,15.92,✅ WIN
2024-10-18,47.2,135.75,4.62,4.17,16.01,✅ WIN
2024-10-23,17.76,134.63,8.51,17.06,18.07,✅ WIN
2024-10-24,36.85,144.47,0.56,6.13,11.11,✅ WIN
2024-10-25,18.44,142.03,-0.43,9.54,13.99,✅ WIN
2024-10-30,15.22,146.08,7.88,7.78,14.12,✅ WIN
2024-11-06,33.08,157.59,-0.09,0.86,2.95,✅ WIN
2024-11-08,16.15,155.57,1.23,4.06,1.76,✅ WIN
2024-11-12,14.93,159.04,0.22,4.1,-0.47,❌ LOS
2024-11-25,45.75,163.73,-0.96,-3.68,-5.85,❌ LOS
2025-01-23,24.64,168.68,-0.52,-1.81,-11.66,❌ LOS
2025-01-24,22.71,169.75,-2.41,-3.02,-12.14,❌ LOS
2025-01-27,20.03,166.51,-1.98,-4.09,-10.87,❌ LOS
2025-01-28,17.47,168.64,-3.98,-4.99,-11.73,❌ LOS
2025-01-29,16.02,169.14,-3.71,-6.35,-11.8,❌ LOS
2025-01-30,21.48,167.79,-1.29,-6.01,-9.36,❌ LOS
2025-01-31,16.19,165.66,-0.62,-5.13,-10.73,❌ LOS
2025-09-11,14.7,169.38,1.67,0.47,-3.77,❌ LOS
2025-12-19,15.93,161.86,0.66,3.94,4.68,✅ WIN
2026-04-23,15.17,153.41,3.2,0.08,-1.95,❌ LOS
