Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-13,39.62,18.83,7.17,36.33,19.92,✅ WIN
2025-07-17,23.52,51.33,-6.23,-10.54,-16.6,❌ LOS
2025-10-07,18.46,61.51,10.6,6.32,-8.03,❌ LOS
2025-10-08,22.78,65.31,6.06,-7.27,-13.61,❌ LOS
2025-10-10,18.19,64.26,3.13,0.47,-19.64,❌ LOS
2025-10-14,17.9,68.03,-3.87,-6.29,-24.68,❌ LOS
2025-10-15,19.99,69.27,-12.57,-4.49,-27.86,❌ LOS
2025-12-10,21.97,57.52,-6.19,34.18,47.51,✅ WIN
2025-12-11,33.44,63.53,-5.68,11.21,38.36,✅ WIN
2025-12-12,29.84,61.49,14.69,14.03,40.8,✅ WIN
2025-12-18,18.54,59.92,17.91,30.41,48.8,✅ WIN
2025-12-19,66.66,70.52,-0.57,21.99,24.53,✅ WIN
2025-12-22,70.45,77.55,-9.16,8.42,13.45,✅ WIN
2025-12-23,45.24,77.18,-9.61,7.64,15.19,✅ WIN
2025-12-24,17.79,77.18,-1.54,9.94,4.28,✅ WIN
2026-01-05,19.04,78.14,12.49,14.1,4.01,✅ WIN
2026-01-06,44.34,86.03,0.64,2.08,-15.02,❌ LOS
2026-01-07,26.15,84.08,9.18,4.64,-21.12,❌ LOS
2026-01-08,25.73,83.08,9.24,7.01,-12.95,❌ LOS
2026-01-09,18.39,84.85,13.49,-5.15,-10.62,❌ LOS
2026-01-16,30.02,96.3,-16.43,-23.0,-27.42,❌ LOS
