Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,49.3,292.88,-2.39,-1.67,-2.18,❌ LOS
2025-05-07,82.06,278.89,8.61,7.02,13.66,✅ WIN
2025-05-08,68.91,286.84,5.71,5.62,11.84,✅ WIN
2025-05-09,55.44,290.35,4.83,4.08,10.49,✅ WIN
2025-05-12,101.86,295.25,3.25,4.88,8.95,✅ WIN
2025-05-13,81.33,303.85,0.29,1.69,5.81,✅ WIN
2025-05-14,44.59,302.9,-1.46,2.84,6.17,✅ WIN
2025-05-19,45.91,304.84,1.59,2.73,3.96,✅ WIN
2025-05-20,55.73,304.73,1.4,3.51,4.45,✅ WIN
2025-05-22,59.56,302.96,3.02,5.89,5.72,✅ WIN
2025-05-27,54.74,309.68,1.13,3.87,3.0,✅ WIN
2025-07-16,49.31,347.83,1.8,-0.14,-0.76,❌ LOS
2025-11-06,58.5,369.85,1.93,-0.66,8.93,✅ WIN
2025-11-10,60.33,388.46,-5.06,-1.4,2.77,✅ WIN
2025-11-11,50.39,389.29,-6.31,0.17,5.01,✅ WIN
2025-11-12,48.12,391.74,-5.24,0.23,5.08,✅ WIN
2025-11-24,43.81,383.04,1.78,4.23,3.76,✅ WIN
2026-01-22,48.71,423.85,0.33,-4.38,-6.24,❌ LOS
