Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-05,1.62,5.46,5.87,7.3,17.97,✅ WIN
2025-02-06,1.83,5.6,2.6,4.51,17.16,✅ WIN
2025-02-18,1.77,5.92,3.61,4.43,17.05,✅ WIN
2025-02-20,1.26,5.86,5.64,9.95,14.26,✅ WIN
2025-02-25,1.58,6.14,0.79,1.11,12.34,✅ WIN
2025-03-03,1.3,6.28,-1.24,6.34,3.55,✅ WIN
2025-08-22,1.48,9.67,-2.66,-0.31,3.58,✅ WIN
2025-09-17,1.78,9.95,2.18,3.48,-1.99,❌ LOS
2025-11-12,1.42,10.9,-6.8,-3.17,4.26,✅ WIN
2025-12-11,1.99,11.36,1.39,2.7,5.57,✅ WIN
2026-01-27,1.38,12.89,-6.28,-2.45,1.23,✅ WIN
2026-04-10,1.28,12.05,5.57,-1.97,1.9,✅ WIN
2026-04-17,1.72,12.72,-7.14,-6.29,-7.73,❌ LOS
2026-06-17,1.34,13.33,0.38,4.65,1.65,✅ WIN
2026-07-01,2.5,13.81,-0.14,-1.38,2.17,✅ WIN
2026-07-02,1.44,13.95,-0.57,-2.87,1.08,✅ WIN
2026-07-06,1.4,14.37,-4.94,-7.31,0.56,✅ WIN
