Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-28,11.87,96.62,10.15,10.58,13.15,✅ WIN
2025-01-29,64.68,104.48,3.38,4.11,6.02,✅ WIN
2025-01-30,24.08,104.89,2.48,3.67,6.82,✅ WIN
2025-01-31,25.84,103.62,4.2,5.09,7.76,✅ WIN
2025-02-03,11.54,104.08,3.04,5.07,4.17,✅ WIN
2025-02-04,17.53,106.43,0.39,2.26,1.53,✅ WIN
2025-02-05,21.85,108.01,0.7,1.52,-5.53,❌ LOS
2025-02-06,17.69,107.48,1.16,0.59,-4.16,❌ LOS
2025-02-07,16.53,107.97,0.86,1.43,-9.38,❌ LOS
2025-02-10,9.22,107.24,1.97,3.38,-10.17,❌ LOS
2025-02-12,9.25,108.77,0.81,1.83,-14.58,❌ LOS
2025-02-13,11.7,108.73,-0.57,3.04,-12.71,❌ LOS
2025-02-14,9.61,108.89,0.57,2.54,-11.97,❌ LOS
2025-06-11,9.94,92.94,-3.26,-3.72,-0.47,❌ LOS
2026-01-21,12.23,95.25,-1.32,0.56,-0.01,❌ LOS
2026-01-22,9.82,94.66,-2.03,0.25,2.39,✅ WIN
2026-01-23,10.24,96.43,-5.81,1.87,-2.28,❌ LOS
2026-01-28,10.15,94.0,1.9,4.16,3.73,✅ WIN
2026-04-17,9.41,99.42,-1.33,5.9,7.45,✅ WIN
2026-04-29,23.39,104.89,0.89,0.43,-3.94,❌ LOS
2026-04-30,8.74,104.72,-1.02,1.02,-5.31,❌ LOS
