Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,40.89,111.0,-4.24,-3.36,-4.9,❌ LOS
2025-09-24,62.28,116.29,2.63,10.9,6.21,✅ WIN
2025-10-06,25.74,126.48,2.48,3.82,6.39,✅ WIN
2025-12-11,28.29,145.76,-3.62,1.28,19.22,✅ WIN
2026-01-07,31.44,156.08,14.02,11.59,19.84,✅ WIN
2026-01-08,38.57,158.51,13.96,14.79,24.6,✅ WIN
2026-01-09,59.32,168.35,6.12,10.49,22.14,✅ WIN
2026-01-12,61.42,173.76,5.82,10.7,14.46,✅ WIN
2026-01-13,47.2,172.16,5.56,13.65,19.96,✅ WIN
2026-01-14,45.56,177.97,-2.14,15.35,11.17,✅ WIN
2026-01-15,42.38,180.65,0.73,4.02,9.61,✅ WIN
2026-01-16,38.3,178.65,4.12,6.55,5.23,✅ WIN
2026-01-20,47.93,183.88,4.61,15.67,4.77,✅ WIN
2026-01-21,72.37,181.72,7.67,6.47,6.79,✅ WIN
2026-01-22,38.54,174.17,17.87,7.4,15.41,✅ WIN
2026-01-23,44.85,181.96,3.27,8.54,13.79,✅ WIN
2026-01-26,54.79,186.02,2.33,10.55,13.26,✅ WIN
2026-01-27,42.34,192.37,10.57,3.4,11.87,✅ WIN
2026-01-28,39.78,195.66,-1.12,5.55,10.24,✅ WIN
2026-01-29,89.16,205.29,-8.88,-3.62,6.34,✅ WIN
2026-02-03,46.49,212.7,-6.49,-9.42,-2.84,❌ LOS
