Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-14,1.68,28.57,0.45,1.14,7.92,✅ WIN
2026-01-21,1.56,28.68,0.51,6.38,8.3,✅ WIN
2026-01-22,1.47,28.7,0.69,6.17,8.36,✅ WIN
2026-02-02,1.67,29.51,4.5,4.73,5.3,✅ WIN
2026-02-03,2.53,30.01,2.62,3.48,3.41,✅ WIN
2026-02-04,3.05,30.51,2.03,1.81,0.81,✅ WIN
2026-02-05,2.66,30.47,1.19,2.07,0.52,✅ WIN
2026-02-06,3.05,30.96,0.44,0.19,-1.43,❌ LOS
2026-02-09,2.86,30.84,0.22,0.93,-1.44,❌ LOS
2026-02-10,1.91,30.79,0.83,0.67,-0.96,❌ LOS
2026-02-11,2.43,31.13,-0.22,-0.41,-2.59,❌ LOS
2026-02-12,2.08,30.83,0.86,1.37,-1.72,❌ LOS
2026-02-13,2.91,31.1,-0.25,0.79,-2.34,❌ LOS
2026-02-17,2.59,30.91,0.7,0.54,-1.5,❌ LOS
2026-02-18,1.67,31.05,-0.16,-0.06,-3.11,❌ LOS
2026-02-19,1.55,31.06,-0.19,-0.98,-3.1,❌ LOS
2026-04-30,1.63,31.82,-1.65,-0.84,1.34,✅ WIN
