Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-11-10,12.17,45.38,-24.48,-24.09,-33.32,❌ LOS
2026-02-20,9.17,37.9,-6.6,-11.85,36.49,✅ WIN
2026-02-23,7.0,39.38,3.1,-12.16,18.66,✅ WIN
2026-02-24,15.13,43.07,-12.21,-11.52,10.68,✅ WIN
2026-03-19,9.43,45.66,10.1,6.77,-16.12,❌ LOS
2026-03-20,27.7,51.73,0.06,-12.84,-23.02,❌ LOS
2026-03-23,9.0,46.73,1.37,-6.16,-13.18,❌ LOS
2026-03-25,13.76,51.28,1.15,-18.41,-7.64,❌ LOS
2026-03-26,14.38,50.27,-3.02,-16.93,-8.83,❌ LOS
2026-03-27,13.68,51.76,-12.89,-16.52,-8.46,❌ LOS
2026-03-30,7.77,47.37,-7.43,-9.27,-6.5,❌ LOS
2026-03-31,11.98,51.05,-14.75,-25.9,-18.55,❌ LOS
2026-04-01,10.52,51.87,-19.34,-24.99,-17.37,❌ LOS
2026-04-02,6.74,48.75,-14.34,-21.44,-11.98,❌ LOS
