Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-14,23.23,134.95,-5.75,-8.49,-1.71,❌ LOS
2025-02-18,40.24,138.62,-10.6,-4.55,-9.73,❌ LOS
2025-03-05,31.96,146.31,-11.41,-13.78,-8.02,❌ LOS
2025-05-07,23.23,142.53,14.49,14.54,19.55,✅ WIN
2025-05-08,22.04,145.82,12.9,10.2,13.57,✅ WIN
2025-05-09,25.0,139.17,16.05,17.88,18.26,✅ WIN
2025-05-12,40.39,142.45,14.23,16.0,10.12,✅ WIN
2025-05-13,91.75,154.13,5.37,7.0,0.2,✅ WIN
2025-05-14,90.23,163.18,0.05,-1.21,-5.24,❌ LOS
2025-05-15,47.82,164.63,-2.39,-2.59,-6.23,❌ LOS
2025-05-16,23.14,161.51,1.58,2.22,-2.06,❌ LOS
2025-05-19,22.88,162.72,1.55,1.87,-3.35,❌ LOS
2025-05-27,29.58,165.24,0.32,-5.07,-5.71,❌ LOS
2025-05-28,21.43,164.92,1.96,-6.35,-3.89,❌ LOS
2025-05-30,22.36,160.37,3.27,-3.74,-0.27,❌ LOS
2025-08-12,57.89,174.12,2.95,8.14,10.87,✅ WIN
2025-08-13,24.34,174.66,2.34,4.72,12.5,✅ WIN
2025-08-22,29.49,185.53,0.54,2.72,4.0,✅ WIN
2025-08-25,34.45,187.55,-4.68,2.73,-1.23,❌ LOS
2025-08-28,27.45,186.24,2.89,5.27,-0.89,❌ LOS
2025-08-29,41.93,186.54,2.16,2.1,-2.73,❌ LOS
