Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-26,6.75,113.0,-3.87,-5.7,-7.64,❌ LOS
2025-02-28,4.57,105.08,6.2,0.93,5.24,✅ WIN
2025-03-03,4.44,106.56,4.47,-0.2,5.64,✅ WIN
2025-03-07,14.23,111.59,-4.96,-6.54,-1.89,❌ LOS
2025-03-10,11.78,111.33,-4.47,-4.57,-3.48,❌ LOS
2025-03-11,5.48,108.63,-2.97,-2.55,-3.57,❌ LOS
2025-04-03,4.9,112.48,-3.34,-1.59,-3.01,❌ LOS
2025-07-16,5.38,103.28,1.41,1.39,5.03,✅ WIN
2025-07-17,6.08,104.53,-0.24,-1.43,2.33,✅ WIN
2025-08-20,6.73,109.6,-6.53,-0.63,-5.63,❌ LOS
2025-11-12,4.9,106.48,-3.72,-5.11,-7.2,❌ LOS
2025-11-13,6.7,106.93,-4.99,-4.6,-6.99,❌ LOS
2026-02-10,6.37,107.11,-0.56,-1.57,-0.62,❌ LOS
2026-02-11,6.89,108.75,-0.35,5.49,-3.6,❌ LOS
2026-02-12,5.21,108.7,0.43,5.5,-3.48,❌ LOS
2026-02-13,7.0,109.32,0.43,3.75,-5.01,❌ LOS
2026-02-18,5.02,106.51,-1.01,6.54,-5.84,❌ LOS
2026-02-23,6.75,109.78,3.32,-1.84,-11.37,❌ LOS
2026-02-26,20.71,114.73,-4.02,-8.62,-18.01,❌ LOS
2026-02-27,29.91,114.68,-4.09,-8.51,-17.86,❌ LOS
2026-03-02,6.91,113.42,-4.99,-8.45,-17.01,❌ LOS
