Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-12-11,4.76,40.1,-5.48,-6.32,11.92,✅ WIN
2026-01-05,14.55,43.54,3.08,6.05,13.61,✅ WIN
2026-01-06,7.61,43.37,5.2,11.21,17.69,✅ WIN
2026-01-08,7.09,44.17,4.82,10.62,14.11,✅ WIN
2026-01-09,8.16,44.94,3.38,9.96,11.81,✅ WIN
2026-01-12,8.58,44.89,2.88,12.2,11.45,✅ WIN
2026-01-13,8.91,45.63,5.71,6.47,12.99,✅ WIN
2026-01-14,11.98,46.69,5.0,3.15,8.45,✅ WIN
2026-01-15,8.67,46.3,5.54,3.89,8.84,✅ WIN
2026-01-16,8.72,46.46,6.36,2.82,7.28,✅ WIN
2026-01-20,10.33,46.18,9.06,7.13,11.72,✅ WIN
2026-01-21,13.1,48.24,0.72,5.83,6.85,✅ WIN
2026-01-22,13.62,49.03,-1.76,0.39,3.71,✅ WIN
2026-01-23,17.32,48.86,-1.57,3.15,4.87,✅ WIN
2026-01-26,6.48,49.41,-3.32,1.69,4.94,✅ WIN
2026-01-27,5.37,50.36,-1.78,-0.67,2.58,✅ WIN
2026-01-28,6.16,48.58,5.07,6.13,5.98,✅ WIN
2026-03-25,4.89,51.89,-3.58,1.25,5.49,✅ WIN
