Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-24,0.57,10.57,-1.42,0.95,-5.58,❌ LOS
2024-09-27,0.58,10.87,-0.64,2.39,-3.86,❌ LOS
2024-10-30,3.52,12.62,-6.42,-11.97,-8.0,❌ LOS
2024-10-31,1.1,12.16,2.63,-11.51,-2.88,❌ LOS
2024-11-01,1.07,12.53,-4.15,-15.4,-3.35,❌ LOS
2024-11-06,0.55,11.81,-5.93,-10.33,3.05,✅ WIN
2024-11-07,0.79,12.48,-13.78,-14.82,-0.32,❌ LOS
2024-11-08,0.74,12.01,-11.74,-4.91,4.08,✅ WIN
2024-11-11,0.69,11.96,-11.79,-3.01,3.76,✅ WIN
2024-12-03,1.04,12.86,-3.5,-13.06,-12.6,❌ LOS
2024-12-05,1.0,12.17,-6.49,-7.15,3.29,✅ WIN
2024-12-06,1.58,12.44,-9.08,-8.36,0.88,✅ WIN
2024-12-09,0.95,12.5,-9.28,-9.92,-3.68,❌ LOS
2024-12-10,0.93,12.41,-9.91,-9.91,0.48,✅ WIN
2025-01-06,0.55,12.57,-9.79,-16.79,-15.43,❌ LOS
2025-01-07,0.59,12.55,-5.66,-15.7,-14.82,❌ LOS
2025-01-10,1.14,12.47,-12.91,-12.99,-14.11,❌ LOS
2025-04-29,0.9,9.09,-8.03,0.11,-8.25,❌ LOS
2025-07-17,0.58,9.91,-1.72,-4.84,-28.56,❌ LOS
2026-01-06,0.66,8.79,-9.1,-16.15,-32.76,❌ LOS
2026-01-07,0.6,8.62,-8.35,-11.14,-40.6,❌ LOS
