Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-21,188.21,171.35,2.01,7.17,-2.95,❌ LOS
2024-11-22,56.37,167.44,2.97,7.96,-3.58,❌ LOS
2024-11-25,43.82,171.42,2.64,0.08,-4.88,❌ LOS
2024-12-04,44.71,186.51,-7.8,-12.83,-13.02,❌ LOS
2025-05-22,139.45,203.18,1.23,3.77,5.18,✅ WIN
2025-05-23,51.51,200.05,5.06,5.4,11.54,✅ WIN
2025-05-27,48.91,206.35,1.36,0.92,7.35,✅ WIN
2025-08-28,283.16,241.0,-6.4,-8.24,-6.79,❌ LOS
2025-08-29,72.03,238.66,-5.09,-5.39,-5.62,❌ LOS
2025-09-02,35.86,233.6,-3.44,-7.56,-3.45,❌ LOS
2025-09-04,36.64,221.9,1.19,0.09,8.4,✅ WIN
2025-10-08,45.51,250.21,-3.74,-3.41,5.83,✅ WIN
2025-10-27,32.36,265.97,4.2,0.95,-9.02,❌ LOS
2025-10-31,37.54,274.88,-4.37,-6.5,-8.32,❌ LOS
2025-11-03,33.6,277.14,-3.11,-8.79,-6.3,❌ LOS
