Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-04-17,73.78,415.24,11.04,12.04,22.33,✅ WIN
2026-04-22,91.08,431.28,4.22,17.39,20.51,✅ WIN
2026-04-23,154.75,440.5,4.63,11.65,18.98,✅ WIN
2026-04-24,153.48,461.08,0.9,12.72,16.41,✅ WIN
2026-04-27,133.1,454.9,1.46,16.98,25.18,✅ WIN
2026-04-28,100.15,438.22,10.03,17.62,28.55,✅ WIN
2026-05-05,89.94,482.19,6.89,2.9,27.54,✅ WIN
2026-05-06,153.87,506.3,4.23,2.65,18.91,✅ WIN
2026-05-07,110.47,491.8,7.65,6.57,9.63,✅ WIN
2026-05-08,118.73,519.71,-2.26,3.27,9.83,✅ WIN
2026-05-11,122.02,532.16,-6.92,7.01,5.51,✅ WIN
2026-05-12,160.55,515.41,-3.73,9.3,4.95,✅ WIN
2026-05-13,85.14,527.69,-1.51,7.79,11.1,✅ WIN
2026-05-22,68.97,536.72,6.44,6.35,12.35,✅ WIN
2026-05-26,93.6,569.45,6.13,-1.39,5.56,✅ WIN
2026-05-27,74.89,563.34,9.17,-3.98,10.91,✅ WIN
2026-06-02,76.46,604.34,-7.09,-2.23,-0.83,❌ LOS
2026-06-03,84.82,614.99,-12.05,-2.54,-7.97,❌ LOS
2026-06-04,90.81,602.04,-2.62,6.14,-3.47,❌ LOS
2026-06-08,89.76,570.81,10.03,5.64,-1.6,❌ LOS
2026-06-09,133.48,561.51,5.23,7.05,3.53,✅ WIN
