Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,16.07,165.71,0.29,0.66,-2.64,❌ LOS
2025-02-11,18.36,171.6,0.84,-0.08,-8.94,❌ LOS
2025-05-12,25.95,161.54,-4.05,-6.55,-4.92,❌ LOS
2025-08-29,14.84,172.46,1.05,2.93,4.1,✅ WIN
2026-02-05,15.43,192.89,-2.96,2.25,-1.23,❌ LOS
2026-02-06,18.09,195.18,-1.39,0.24,-3.39,❌ LOS
2026-02-17,16.35,197.54,-1.3,-0.03,-4.59,❌ LOS
2026-04-14,30.73,200.76,0.89,-0.1,1.33,✅ WIN
2026-04-16,15.22,199.17,1.15,1.17,0.72,✅ WIN
2026-04-17,19.34,203.99,-2.46,-1.84,-3.01,❌ LOS
2026-04-20,15.0,205.31,-3.02,-2.91,-3.44,❌ LOS
2026-04-21,14.9,202.54,-0.98,-1.2,-1.9,❌ LOS
2026-06-09,16.77,211.89,1.58,4.84,3.69,✅ WIN
2026-06-12,18.38,219.04,-2.04,3.89,1.02,✅ WIN
2026-06-16,17.71,215.23,3.22,3.61,6.16,✅ WIN
2026-06-22,17.64,214.57,6.05,5.88,5.7,✅ WIN
2026-06-23,17.07,216.74,3.19,1.08,4.37,✅ WIN
2026-06-24,22.19,222.15,0.38,-1.1,1.37,✅ WIN
2026-06-25,26.07,225.49,0.25,-2.98,1.9,✅ WIN
2026-06-26,58.5,226.89,-0.83,-3.26,2.11,✅ WIN
2026-06-29,15.64,227.56,-0.16,-2.76,4.02,✅ WIN
