Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-28,462.19,441.84,-5.49,-8.06,-7.51,❌ LOS
2026-01-29,310.96,445.47,-9.21,-3.45,-8.67,❌ LOS
2026-01-30,167.65,406.69,5.31,4.49,-6.91,❌ LOS
2026-04-17,146.5,547.36,7.03,32.71,45.23,✅ WIN
2026-04-21,163.82,559.5,3.42,37.7,30.98,✅ WIN
2026-04-29,357.7,642.84,22.25,27.06,36.91,✅ WIN
2026-04-30,258.73,673.16,13.78,19.46,30.6,✅ WIN
2026-05-01,360.73,726.41,7.66,9.43,26.73,✅ WIN
2026-05-04,275.19,738.01,12.93,0.31,25.47,✅ WIN
2026-05-05,351.39,770.46,4.9,-4.88,22.01,✅ WIN
2026-05-06,310.27,785.86,3.93,-4.5,17.75,✅ WIN
2026-05-07,223.36,765.89,5.0,5.74,10.57,✅ WIN
2026-05-08,245.12,782.08,1.64,3.84,12.03,✅ WIN
2026-05-11,339.46,833.42,-11.17,1.41,1.44,✅ WIN
2026-05-12,170.95,808.22,-9.33,7.65,0.89,✅ WIN
2026-05-18,144.09,740.31,14.16,25.08,39.21,✅ WIN
2026-06-15,292.19,1018.07,1.94,-5.21,-18.64,❌ LOS
2026-06-16,255.83,1030.61,-3.62,-11.2,-27.66,❌ LOS
2026-06-17,238.56,1065.31,-3.75,-23.01,-26.06,❌ LOS
2026-06-18,396.16,1069.47,-15.86,-18.81,-24.97,❌ LOS
2026-06-22,287.37,1093.26,-11.41,-24.3,-18.42,❌ LOS
