Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-08,4.95,63.92,7.42,4.56,7.47,✅ WIN
2025-05-12,8.73,69.39,-0.16,-1.26,3.66,✅ WIN
2025-09-19,5.93,76.47,0.71,-2.34,-4.6,❌ LOS
2025-09-22,7.95,80.36,-7.28,-7.3,-8.23,❌ LOS
2025-10-28,8.67,77.74,-10.3,-14.22,-19.97,❌ LOS
2025-10-29,6.15,76.27,-6.71,-11.79,-16.07,❌ LOS
2025-10-30,6.26,76.67,-10.76,-13.88,-15.74,❌ LOS
2026-04-30,19.33,69.57,-7.31,-4.43,11.91,✅ WIN
2026-05-01,9.15,68.8,-3.78,-1.25,9.72,✅ WIN
2026-05-04,6.28,68.26,1.86,2.18,15.92,✅ WIN
2026-05-05,17.59,71.93,-8.61,-3.05,12.13,✅ WIN
