Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-30,8.26,95.07,-5.27,1.03,8.46,✅ WIN
2024-09-18,9.04,98.19,0.68,4.18,1.42,✅ WIN
2024-09-19,9.78,101.14,0.28,-0.69,-2.66,❌ LOS
2024-09-20,9.38,100.12,2.61,0.42,-0.5,❌ LOS
2024-09-26,7.28,101.42,-0.97,-1.36,-5.01,❌ LOS
2024-09-27,10.09,102.73,-2.13,-1.6,-7.05,❌ LOS
2024-09-30,10.88,103.11,-3.47,-1.16,-6.55,❌ LOS
2024-10-01,8.98,102.39,-2.58,-2.09,-14.15,❌ LOS
2024-10-02,9.07,102.29,-2.42,-2.65,-14.08,❌ LOS
2025-01-24,6.78,83.3,-0.1,-1.93,-1.54,❌ LOS
2025-05-12,9.86,69.21,-2.63,-7.31,-3.39,❌ LOS
2025-12-10,8.41,75.03,-5.19,-1.31,8.56,✅ WIN
2025-12-11,6.66,75.7,-4.7,-1.52,7.67,✅ WIN
2026-01-06,6.62,79.87,2.65,3.44,4.79,✅ WIN
2026-01-08,8.55,80.6,3.57,1.21,9.69,✅ WIN
2026-02-13,6.88,90.06,-4.14,-7.71,-21.08,❌ LOS
2026-02-18,7.89,88.84,-5.09,-11.19,-21.64,❌ LOS
2026-02-19,8.96,88.63,-2.19,-13.03,-22.09,❌ LOS
2026-02-20,18.47,90.95,-5.95,-17.27,-26.03,❌ LOS
