Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-09,1.59,10.84,6.01,-3.19,-6.37,❌ LOS
2024-12-10,0.95,10.59,6.22,0.92,-6.34,❌ LOS
2024-12-11,0.83,10.9,-4.96,1.79,-10.04,❌ LOS
2024-12-12,0.68,10.41,0.75,6.57,-4.51,❌ LOS
2024-12-13,9.96,12.03,-11.38,-8.99,-9.7,❌ LOS
2024-12-16,3.54,11.49,-8.68,-3.91,-4.65,❌ LOS
2024-12-17,1.46,11.25,-4.98,-2.14,-2.84,❌ LOS
2024-12-26,0.87,11.1,-0.23,-11.63,-1.17,❌ LOS
2024-12-27,0.68,11.09,1.12,-10.4,-2.12,❌ LOS
2025-01-15,0.67,10.86,2.64,1.5,-6.42,❌ LOS
2025-05-09,23.56,10.98,-1.48,-0.59,-1.01,❌ LOS
2025-05-12,5.02,11.0,-1.24,-0.59,-0.89,❌ LOS
2025-05-13,3.45,10.93,-0.3,-1.31,-0.3,❌ LOS
2025-05-14,1.1,10.88,0.54,0.24,0.42,✅ WIN
2025-05-15,0.92,10.9,0.78,-0.72,0.0,❌ LOS
2025-05-16,0.77,10.82,0.9,1.02,0.84,✅ WIN
2025-05-21,1.07,10.94,-0.3,-0.48,-0.71,❌ LOS
2025-05-28,1.26,10.79,0.79,1.03,1.45,✅ WIN
2025-09-02,1.48,11.51,-0.57,-0.79,1.08,✅ WIN
2025-09-04,1.51,11.72,-3.34,-2.45,-3.11,❌ LOS
2025-09-05,0.85,11.85,-4.51,-3.52,-5.12,❌ LOS
