Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-22,0.23,6.99,2.76,4.86,-0.9,❌ LOS
2024-11-25,0.29,6.99,1.55,4.86,0.61,✅ WIN
2024-12-02,0.26,7.19,2.04,-0.97,-1.65,❌ LOS
2024-12-12,0.64,7.37,-6.65,-5.77,-4.56,❌ LOS
2024-12-13,0.23,7.35,-5.58,-5.03,-4.37,❌ LOS
2025-01-23,0.37,7.52,-0.97,-2.27,1.94,✅ WIN
2025-01-24,0.25,7.6,-1.6,-3.85,0.21,✅ WIN
2025-01-29,0.24,7.19,1.69,3.95,-4.74,❌ LOS
2025-01-30,0.23,7.45,-1.31,1.2,-8.06,❌ LOS
2025-01-31,0.29,7.48,-2.28,2.17,-10.75,❌ LOS
2025-02-03,0.26,7.39,-1.1,3.18,-10.54,❌ LOS
2025-02-19,0.38,7.65,-0.85,-14.23,-14.78,❌ LOS
2025-02-25,0.26,7.65,-13.48,-14.65,-12.79,❌ LOS
2025-02-26,0.27,7.58,-13.49,-13.06,-11.05,❌ LOS
2025-05-12,0.28,6.26,4.58,6.06,5.79,✅ WIN
2025-05-13,0.33,6.42,1.57,2.36,2.76,✅ WIN
2025-05-14,0.24,6.47,-0.91,2.47,1.56,✅ WIN
2025-05-15,0.32,6.5,-2.2,1.55,0.65,✅ WIN
2025-05-21,0.23,6.41,3.42,2.76,3.33,✅ WIN
2025-05-23,0.29,6.47,1.69,3.38,1.18,✅ WIN
2025-05-27,0.27,6.63,-0.89,-0.25,-1.79,❌ LOS
