Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-19,8.41,60.87,-1.71,-1.77,-11.37,❌ LOS
2024-09-20,6.99,61.01,-1.86,-1.32,-11.68,❌ LOS
2024-09-23,8.53,60.37,-0.97,-0.13,-10.24,❌ LOS
2025-01-17,7.66,55.74,0.02,-1.67,4.42,✅ WIN
2025-04-28,9.32,61.6,1.79,0.86,8.73,✅ WIN
2025-04-29,9.36,62.12,0.28,1.06,7.65,✅ WIN
2025-07-07,7.66,72.78,0.92,1.47,0.17,✅ WIN
2025-08-27,6.96,75.54,-1.88,0.89,3.55,✅ WIN
2025-09-29,11.46,79.14,1.83,-1.13,2.33,✅ WIN
2025-09-30,8.15,79.32,1.2,-0.7,3.46,✅ WIN
2025-11-03,6.9,81.29,-0.96,-0.59,3.2,✅ WIN
2025-12-04,8.78,85.4,6.68,7.48,11.65,✅ WIN
2025-12-05,13.44,87.63,3.51,5.1,7.14,✅ WIN
2025-12-08,10.96,87.44,4.44,5.57,6.58,✅ WIN
2025-12-09,7.5,88.44,2.82,5.58,6.13,✅ WIN
2025-12-10,11.28,90.54,-0.12,3.56,3.31,✅ WIN
2025-12-11,10.03,91.11,0.75,3.07,2.49,✅ WIN
2025-12-19,10.92,92.09,1.89,1.95,0.9,✅ WIN
