Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-08,23.09,103.25,-10.98,-17.41,-20.33,❌ LOS
2025-10-09,8.73,99.28,-8.32,-12.33,-27.39,❌ LOS
2025-10-10,10.51,96.39,-8.93,-7.43,-25.76,❌ LOS
2025-10-20,10.16,92.45,-0.94,-4.05,-28.19,❌ LOS
2026-01-12,8.44,69.26,-3.58,-3.54,-19.32,❌ LOS
2026-08-19,22.0,61.25,11.8,1.13,31.2,✅ WIN
2026-08-20,29.28,66.65,6.06,-2.99,16.79,✅ WIN
2026-08-21,31.01,72.69,-11.9,-11.1,7.35,✅ WIN
2026-08-24,12.63,66.17,-4.72,-2.84,16.65,✅ WIN
2026-08-25,11.72,68.73,-9.4,-10.84,11.44,✅ WIN
