Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-21,45.54,149.9,-1.5,-4.62,-1.73,❌ LOS
2024-08-22,17.12,147.61,-2.17,-3.53,-1.32,❌ LOS
2024-08-23,10.26,149.2,-3.08,-4.99,-2.03,❌ LOS
2024-08-26,11.91,149.57,-4.47,-6.85,-1.71,❌ LOS
2024-08-27,10.54,149.37,-3.91,-7.18,-2.27,❌ LOS
2024-08-28,7.85,147.65,-3.16,-5.37,-0.56,❌ LOS
2024-08-29,8.5,144.41,-1.39,-1.34,1.15,✅ WIN
2024-08-30,9.17,144.6,-1.97,-0.51,1.46,✅ WIN
2024-09-03,7.77,142.89,-2.5,0.11,0.26,✅ WIN
2024-09-04,8.24,143.53,-3.4,0.73,-1.36,❌ LOS
2024-11-12,7.18,146.51,0.22,-18.11,-12.01,❌ LOS
2024-11-18,9.95,147.37,-16.02,-15.43,-15.33,❌ LOS
2024-11-19,11.12,146.84,-18.29,-16.02,-15.61,❌ LOS
2025-01-10,7.16,134.27,-5.66,0.62,-7.3,❌ LOS
2026-01-20,5.4,108.24,-4.79,1.79,6.86,✅ WIN
2026-02-13,6.51,115.76,-2.09,-2.24,1.11,✅ WIN
2026-02-17,6.58,116.54,-0.88,3.66,0.19,✅ WIN
2026-02-18,6.56,115.66,0.67,3.82,-0.53,❌ LOS
2026-02-20,6.31,116.69,-2.49,3.51,-2.94,❌ LOS
2026-03-03,11.72,120.8,-0.05,-3.34,0.33,✅ WIN
