Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-26,28.5,59.43,4.54,2.6,8.99,✅ WIN
2024-12-02,19.94,62.86,-3.04,-0.04,1.72,✅ WIN
2024-12-03,24.2,62.6,-4.03,-0.24,2.6,✅ WIN
2025-02-06,32.48,80.45,5.4,2.91,-8.46,❌ LOS
2025-05-08,22.29,76.22,7.35,1.87,2.27,✅ WIN
2025-07-14,20.69,100.26,4.79,8.73,6.31,✅ WIN
2025-07-21,21.45,105.06,3.77,5.15,-6.11,❌ LOS
2025-07-22,20.51,104.9,1.08,4.93,-7.84,❌ LOS
2025-12-11,21.08,122.81,1.55,6.32,8.27,✅ WIN
2025-12-18,20.13,124.71,4.7,2.5,3.0,✅ WIN
2025-12-19,24.83,124.73,3.92,6.19,5.44,✅ WIN
2026-02-05,26.46,142.4,6.61,9.71,0.94,✅ WIN
2026-02-06,27.6,151.26,1.12,0.57,-4.08,❌ LOS
2026-02-09,28.77,153.8,-0.52,-0.09,-3.87,❌ LOS
2026-02-10,22.92,152.34,1.19,2.44,-4.81,❌ LOS
2026-02-11,30.5,153.82,-1.53,3.76,-7.51,❌ LOS
2026-02-13,28.22,152.95,-0.54,1.7,-7.57,❌ LOS
2026-02-20,25.96,156.22,-1.03,-7.99,-10.08,❌ LOS
2026-02-23,20.26,152.13,2.26,-4.63,-5.34,❌ LOS
2026-02-25,23.13,156.05,-0.01,-7.08,-6.59,❌ LOS
2026-04-17,21.3,155.41,-6.39,-8.41,-17.02,❌ LOS
