Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-17,104.99,201.42,-3.84,-7.43,-8.42,❌ LOS
2025-09-10,51.91,257.59,1.22,8.12,17.29,✅ WIN
2025-09-19,50.7,262.8,3.21,10.31,11.41,✅ WIN
2025-09-22,57.73,270.5,0.22,10.92,9.2,✅ WIN
2025-09-23,73.42,280.5,-1.21,4.0,4.17,✅ WIN
2025-10-06,49.56,300.04,0.16,-1.55,0.81,✅ WIN
2026-01-06,51.6,325.75,1.15,-0.4,-0.52,❌ LOS
2026-01-15,139.56,339.88,-1.98,-3.24,7.24,✅ WIN
2026-01-16,55.62,340.64,-2.83,-0.3,6.37,✅ WIN
2026-02-11,53.34,372.17,-3.66,0.73,-9.99,❌ LOS
2026-02-24,51.07,383.77,-8.46,-10.02,-10.77,❌ LOS
2026-02-25,52.51,385.74,-7.81,-8.55,-10.06,❌ LOS
2026-02-26,49.14,374.87,-6.09,-10.64,-13.21,❌ LOS
2026-04-16,64.62,362.5,5.31,9.0,14.96,✅ WIN
2026-04-17,54.01,369.63,8.63,7.33,9.14,✅ WIN
2026-04-22,54.86,386.53,1.65,8.27,3.66,✅ WIN
2026-04-24,91.72,401.52,-1.19,2.29,0.51,✅ WIN
2026-04-27,68.01,404.03,-0.83,-0.11,1.81,✅ WIN
2026-05-06,70.21,418.52,-4.7,-4.26,6.06,✅ WIN
2026-05-08,55.81,410.72,-1.78,-1.74,3.67,✅ WIN
