Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-13,7.68,59.91,-1.93,-1.76,-0.65,❌ LOS
2026-01-27,12.56,71.03,3.66,3.96,10.73,✅ WIN
2026-01-28,12.71,70.76,4.67,8.67,10.36,✅ WIN
2026-01-29,8.03,71.86,0.85,4.81,10.62,✅ WIN
2026-02-03,12.37,73.63,0.28,3.94,3.36,✅ WIN
2026-02-04,12.38,74.06,3.82,3.97,2.9,✅ WIN
2026-02-05,9.51,72.47,3.92,6.32,7.54,✅ WIN
2026-02-11,13.77,76.89,0.14,1.56,4.76,✅ WIN
2026-02-12,7.81,75.31,2.31,5.54,8.71,✅ WIN
2026-03-02,9.32,80.21,-0.96,2.21,12.93,✅ WIN
2026-03-18,8.52,85.98,2.72,4.43,5.54,✅ WIN
2026-03-19,16.55,89.1,-0.12,3.69,-2.28,❌ LOS
2026-03-20,8.62,87.81,1.26,5.06,-0.56,❌ LOS
2026-03-23,11.44,88.19,2.7,3.6,0.2,✅ WIN
2026-03-24,12.1,87.85,3.57,1.83,1.96,✅ WIN
2026-03-25,9.86,88.31,1.66,1.83,2.45,✅ WIN
2026-03-30,7.79,90.58,0.88,0.46,0.5,✅ WIN
2026-03-31,10.99,90.98,-1.68,-4.31,1.38,✅ WIN
2026-04-01,8.96,89.78,0.17,1.07,3.26,✅ WIN
2026-04-02,10.98,92.39,0.28,-5.76,0.42,✅ WIN
2026-04-10,7.12,92.65,-6.02,-3.15,-4.5,❌ LOS
