Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-11-24,8.04,20.13,-10.88,-11.38,-18.03,❌ LOS
2025-11-25,5.73,19.07,-6.29,-8.08,-12.48,❌ LOS
2026-01-07,4.68,19.99,4.65,16.01,-11.46,❌ LOS
2026-01-09,6.75,20.46,0.29,9.97,-9.38,❌ LOS
2026-01-12,5.88,19.8,11.36,9.19,-3.28,❌ LOS
2026-01-20,7.35,22.05,-1.95,-12.56,-11.25,❌ LOS
2026-01-21,6.28,22.68,-7.05,-15.96,-15.39,❌ LOS
2026-01-22,7.68,23.19,-10.31,-23.67,-18.59,❌ LOS
2026-01-23,8.54,22.38,-9.74,-16.85,-15.59,❌ LOS
2026-02-26,5.17,22.13,-2.21,-14.41,-7.68,❌ LOS
2026-02-27,5.52,23.05,-9.72,-18.48,-15.49,❌ LOS
2026-03-02,4.64,23.14,-9.64,-27.87,-14.39,❌ LOS
2026-04-06,6.6,21.89,7.72,12.33,-1.1,❌ LOS
2026-04-08,6.18,23.02,10.12,-0.83,-1.22,❌ LOS
2026-04-13,4.79,23.58,4.28,-5.51,-13.06,❌ LOS
2026-04-14,6.13,24.8,-7.38,-13.83,-15.65,❌ LOS
2026-04-15,4.7,25.35,-9.94,-20.32,-16.88,❌ LOS
2026-04-17,5.92,26.08,-15.34,-14.0,-18.71,❌ LOS
2026-04-20,6.81,24.59,-9.39,-11.96,-12.77,❌ LOS
