Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-23,28.35,200.64,2.13,-4.15,-2.87,❌ LOS
2025-05-12,48.48,183.1,0.57,-2.16,8.01,✅ WIN
2026-01-28,73.53,214.77,3.8,5.49,-1.0,❌ LOS
2026-01-29,49.26,217.55,2.96,2.51,-2.5,❌ LOS
2026-02-02,46.52,225.01,-2.77,0.3,-9.93,❌ LOS
2026-02-03,59.31,225.21,-1.9,-0.84,-10.13,❌ LOS
2026-02-04,44.48,222.92,1.63,-2.18,-11.19,❌ LOS
2026-02-05,39.59,223.98,-0.44,-1.9,-13.73,❌ LOS
2026-02-06,27.83,221.44,2.13,-0.71,-11.4,❌ LOS
2026-02-11,28.46,226.56,-3.76,-6.15,-16.11,❌ LOS
