Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-07,4.77,11.13,-11.5,-16.98,-9.07,❌ LOS
2024-11-12,0.71,9.57,-1.88,1.25,7.63,✅ WIN
2024-11-13,0.93,9.8,-6.94,-1.02,-2.14,❌ LOS
2024-11-14,0.7,9.85,-6.19,-1.42,-10.56,❌ LOS
2024-11-15,0.66,9.94,-4.23,2.21,-16.3,❌ LOS
2024-11-18,0.6,9.8,0.0,3.88,-11.73,❌ LOS
2024-11-26,0.52,9.69,4.95,6.3,-12.8,❌ LOS
2024-12-11,1.06,10.3,-17.77,-17.96,-19.42,❌ LOS
2025-07-10,0.65,7.08,-3.39,1.27,-6.21,❌ LOS
2026-01-06,0.54,5.69,-1.41,8.61,16.17,✅ WIN
2026-02-06,1.76,7.56,-4.89,0.79,-14.29,❌ LOS
2026-02-09,1.41,7.86,-1.78,-1.4,-15.01,❌ LOS
2026-02-17,0.61,7.72,0.39,-7.77,-19.04,❌ LOS
2026-02-18,0.61,7.86,-3.44,-13.23,-22.14,❌ LOS
2026-02-20,0.76,8.14,-8.85,-19.04,-28.13,❌ LOS
2026-04-21,0.52,6.73,-4.9,-6.84,-23.63,❌ LOS
