Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-23,3.48,6.45,-11.78,2.48,3.1,✅ WIN
2025-09-10,3.77,12.6,-2.86,8.57,11.11,✅ WIN
2025-09-15,4.72,13.17,1.9,5.47,16.32,✅ WIN
2025-09-18,3.32,12.26,9.62,11.58,30.51,✅ WIN
2025-09-19,3.36,12.35,10.69,6.96,20.4,✅ WIN
2025-09-22,3.59,13.42,3.5,-2.76,12.67,✅ WIN
2025-09-23,3.32,13.85,-3.68,-2.24,-2.45,❌ LOS
2025-09-24,3.51,13.68,-5.04,2.34,1.54,✅ WIN
2025-10-15,2.99,16.74,-17.03,-6.93,-26.4,❌ LOS
2025-12-11,2.7,14.15,-15.69,-13.71,12.72,✅ WIN
2026-01-14,6.65,17.19,15.53,8.2,-11.52,❌ LOS
2026-01-15,6.85,17.47,6.58,-1.32,-11.16,❌ LOS
2026-01-16,6.86,17.87,2.69,-8.67,-14.94,❌ LOS
2026-01-20,7.13,18.07,6.25,-1.44,-11.46,❌ LOS
2026-01-21,9.62,18.82,7.01,-14.45,-14.4,❌ LOS
2026-01-22,13.02,19.86,-6.34,-24.27,-18.18,❌ LOS
2026-01-23,7.65,18.62,-7.41,-13.43,-14.23,❌ LOS
2026-01-26,4.29,18.35,-11.06,-6.81,-11.88,❌ LOS
2026-01-27,4.19,19.2,-7.24,-14.9,-18.59,❌ LOS
2026-01-28,6.75,20.14,-20.06,-21.05,-23.63,❌ LOS
2026-01-29,5.59,18.6,-19.14,-18.23,-17.58,❌ LOS
