Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-03-10,5.88,65.05,-0.95,-3.57,-3.96,❌ LOS
2025-04-03,8.99,67.49,-4.22,2.06,1.52,✅ WIN
2025-04-22,6.84,70.6,-3.5,-2.34,-2.45,❌ LOS
2025-04-23,6.13,69.29,-1.04,-0.17,-0.35,❌ LOS
2025-08-20,7.49,69.75,-1.64,2.28,-3.3,❌ LOS
2025-08-29,4.25,69.36,1.27,-1.39,-6.38,❌ LOS
2025-09-02,4.36,69.73,-0.72,-2.64,-6.7,❌ LOS
2025-09-04,5.59,71.34,-2.34,-5.46,-9.34,❌ LOS
2025-10-16,5.28,68.06,0.48,-1.85,-1.88,❌ LOS
2025-10-17,4.49,69.27,-0.71,-4.64,-5.33,❌ LOS
2026-02-04,5.9,69.59,3.5,1.72,-4.08,❌ LOS
2026-02-05,7.58,70.35,2.64,2.32,-5.92,❌ LOS
2026-02-06,6.28,70.89,3.42,2.58,-7.28,❌ LOS
2026-02-09,4.59,70.15,3.64,4.53,-6.27,❌ LOS
2026-02-11,7.65,72.02,-1.72,0.01,-11.44,❌ LOS
2026-02-12,13.6,72.21,-0.31,1.16,-12.14,❌ LOS
2026-02-13,12.52,73.32,-0.82,-3.44,-11.61,❌ LOS
2026-02-17,6.35,72.7,0.85,-5.79,-10.87,❌ LOS
2026-02-18,5.04,71.19,1.08,-3.9,-13.25,❌ LOS
2026-02-23,5.86,72.72,-2.64,-9.62,-16.82,❌ LOS
2026-02-24,5.29,73.32,-6.59,-10.33,-18.11,❌ LOS
