Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-20,6.7,10.78,15.77,-8.63,-5.1,❌ LOS
2026-01-21,5.91,11.13,2.25,-10.6,-8.98,❌ LOS
2026-01-26,5.88,11.33,-11.39,-11.3,-3.62,❌ LOS
2026-01-27,8.98,12.48,-21.07,-20.59,-15.46,❌ LOS
2026-04-17,5.29,11.66,5.32,11.92,47.51,✅ WIN
2026-04-20,8.92,12.64,-7.52,2.69,35.44,✅ WIN
2026-04-29,6.42,12.75,19.45,24.86,77.88,✅ WIN
2026-05-05,7.31,14.01,14.63,25.48,52.89,✅ WIN
2026-05-06,10.01,15.23,4.53,15.3,36.51,✅ WIN
2026-05-14,5.25,17.13,7.12,29.48,26.27,✅ WIN
2026-05-15,5.5,17.2,5.93,33.08,34.19,✅ WIN
2026-05-18,6.83,17.12,23.13,31.19,26.29,✅ WIN
2026-05-19,5.74,17.58,26.39,21.84,23.78,✅ WIN
