Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-03,29.35,575.53,0.06,-3.12,-2.22,❌ LOS
2024-11-06,51.85,575.65,1.54,0.64,-2.97,❌ LOS
2024-11-07,48.74,584.1,-2.03,-1.31,-9.22,❌ LOS
2024-11-08,43.17,594.09,-3.83,-4.05,-8.61,❌ LOS
2024-11-11,41.21,603.2,-5.69,-3.11,-9.26,❌ LOS
2024-11-12,37.42,592.99,-6.13,-1.28,-12.87,❌ LOS
2024-11-13,39.93,584.5,-0.89,0.41,-14.55,❌ LOS
2024-11-20,36.51,579.32,1.31,-3.59,-18.21,❌ LOS
2024-11-25,49.93,584.47,-0.1,-6.35,-16.14,❌ LOS
2025-01-13,29.38,524.06,-2.98,0.25,-1.33,❌ LOS
2025-03-21,44.16,502.68,-0.16,1.59,-17.71,❌ LOS
2025-04-03,43.41,525.62,9.98,-15.97,-26.0,❌ LOS
2025-04-08,72.51,537.91,5.52,-22.62,-29.29,❌ LOS
2025-04-09,116.5,562.63,1.13,-26.66,-33.35,❌ LOS
2025-04-10,96.23,578.1,-23.6,-29.57,-35.96,❌ LOS
2025-04-11,73.71,583.03,-29.05,-29.94,-36.82,❌ LOS
2025-04-14,48.06,570.96,-27.23,-30.29,-46.96,❌ LOS
2025-04-15,33.32,567.59,-26.67,-29.5,-47.22,❌ LOS
2025-04-16,38.32,569.0,-27.48,-31.51,-53.11,❌ LOS
2025-09-09,29.27,340.78,-1.72,0.56,5.18,✅ WIN
