Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-23,37.49,239.76,0.75,-1.83,-1.01,❌ LOS
2025-01-24,27.63,240.47,-0.4,-2.69,-2.59,❌ LOS
2025-01-27,36.77,245.92,-4.48,-3.97,-3.35,❌ LOS
2026-02-04,30.06,247.18,5.23,5.29,4.72,✅ WIN
2026-02-05,23.43,248.85,4.1,5.83,1.59,✅ WIN
2026-02-06,24.78,250.01,3.19,4.41,0.92,✅ WIN
2026-02-09,27.24,251.71,3.33,4.84,-1.11,❌ LOS
2026-02-10,37.25,258.62,1.41,1.12,-3.4,❌ LOS
2026-02-11,33.74,260.09,0.06,1.0,-6.63,❌ LOS
2026-02-12,41.19,259.06,1.65,1.76,-6.9,❌ LOS
2026-02-13,24.57,257.98,1.18,2.95,-6.6,❌ LOS
2026-02-17,21.31,260.08,1.47,1.69,-7.31,❌ LOS
2026-02-18,28.16,262.26,-0.28,1.17,-10.26,❌ LOS
2026-02-20,24.12,263.35,0.1,-4.01,-11.26,❌ LOS
2026-04-23,72.44,269.86,-0.66,-2.35,-2.15,❌ LOS
2026-04-24,23.9,267.31,-0.89,-1.51,-1.05,❌ LOS
