Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-24,5.86,126.12,-3.1,-3.04,-3.88,❌ LOS
2025-01-27,6.07,125.74,-18.33,-16.22,-12.08,❌ LOS
2025-10-28,9.59,93.41,-3.23,-1.38,-0.18,❌ LOS
2025-10-29,4.33,94.42,-4.61,-1.25,-0.07,❌ LOS
2025-12-19,7.1,100.52,-2.2,3.24,6.44,✅ WIN
2026-02-04,10.56,115.13,2.79,0.35,-9.61,❌ LOS
2026-02-05,5.16,114.95,1.3,1.55,-10.95,❌ LOS
2026-02-06,7.03,115.73,1.62,-0.61,-13.64,❌ LOS
2026-02-09,6.05,116.3,-0.68,-0.8,-13.22,❌ LOS
2026-02-10,6.14,117.07,-0.81,-2.75,-13.9,❌ LOS
2026-02-11,7.46,118.35,-2.37,-1.45,-17.29,❌ LOS
2026-02-12,10.65,116.45,0.24,-0.42,-16.52,❌ LOS
2026-02-13,6.49,117.6,-2.19,-2.7,-17.18,❌ LOS
2026-02-17,5.2,115.51,-0.12,-1.97,-15.36,❌ LOS
2026-02-18,6.29,116.12,-1.95,-4.84,-16.6,❌ LOS
2026-02-19,4.34,115.54,0.94,-9.93,-16.43,❌ LOS
2026-02-20,6.21,116.73,-0.66,-12.31,-17.88,❌ LOS
