Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-30,10.92,43.82,-4.17,-5.38,-2.1,❌ LOS
2024-10-16,13.87,46.17,-1.38,-1.08,3.98,✅ WIN
2024-10-17,8.81,46.88,-3.04,-3.32,0.68,✅ WIN
2024-11-22,4.93,49.24,0.53,-2.25,-7.94,❌ LOS
2024-11-25,6.7,50.31,-2.85,-3.84,-8.95,❌ LOS
2025-01-15,4.83,48.25,-4.85,-5.7,-6.9,❌ LOS
2025-08-29,5.06,47.36,-0.37,0.94,0.33,✅ WIN
2025-09-09,5.06,47.88,-1.99,-0.04,-2.76,❌ LOS
2025-12-08,5.64,50.4,4.47,6.73,7.76,✅ WIN
2025-12-09,6.44,50.55,3.68,5.66,8.72,✅ WIN
2025-12-10,8.52,52.51,0.34,2.58,4.08,✅ WIN
2025-12-11,8.4,52.52,0.54,2.63,2.49,✅ WIN
2025-12-12,5.94,52.37,1.39,2.02,2.16,✅ WIN
2025-12-15,8.01,52.65,2.16,1.12,0.57,✅ WIN
2025-12-16,4.8,52.42,1.91,0.76,1.87,✅ WIN
2025-12-17,5.2,52.68,2.23,1.32,2.21,✅ WIN
2025-12-19,11.66,53.09,0.63,4.55,3.41,✅ WIN
2026-01-22,5.89,55.61,0.27,5.22,4.41,✅ WIN
2026-02-03,6.97,58.09,3.17,0.12,-7.41,❌ LOS
2026-02-04,8.06,58.81,-0.77,-2.57,-9.27,❌ LOS
2026-02-06,5.64,60.07,-4.94,-8.04,-14.1,❌ LOS
