Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-20,13.83,28.0,-6.54,-17.29,-24.89,❌ LOS
2025-02-21,9.44,28.34,-9.53,-14.64,-23.96,❌ LOS
2025-05-30,10.29,26.08,-3.64,-9.28,-7.21,❌ LOS
2025-07-07,10.48,27.86,4.88,28.93,22.07,✅ WIN
2025-07-08,9.1,29.4,0.99,16.43,15.44,✅ WIN
2025-07-16,27.99,33.94,-1.56,-2.86,11.79,✅ WIN
2025-07-17,31.33,36.52,-8.71,-8.65,5.2,✅ WIN
2025-07-18,11.55,36.75,-10.83,-13.39,3.43,✅ WIN
2025-07-22,8.23,34.23,-4.94,-0.85,8.76,✅ WIN
2025-09-05,9.62,43.82,-0.62,5.09,-13.53,❌ LOS
2025-09-08,10.34,45.5,2.26,0.9,-17.52,❌ LOS
2025-11-05,25.94,42.36,-5.45,-7.41,4.23,✅ WIN
2025-12-05,8.02,45.78,0.83,1.4,-0.5,❌ LOS
2025-12-08,18.95,49.04,-7.79,-5.71,-7.5,❌ LOS
2025-12-09,11.94,49.47,-9.9,-8.63,-8.47,❌ LOS
2025-12-10,10.32,48.98,-10.62,-7.23,-8.82,❌ LOS
2025-12-11,14.14,49.23,-9.53,-8.29,-3.94,❌ LOS
