Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-06,3.08,13.78,-0.42,9.88,20.18,✅ WIN
2026-01-07,3.13,13.86,2.45,10.38,14.17,✅ WIN
2026-01-14,2.27,14.2,7.73,15.95,16.63,✅ WIN
2026-01-15,2.08,14.26,10.29,9.54,13.5,✅ WIN
2026-01-20,2.26,14.52,10.11,13.86,7.17,✅ WIN
2026-01-21,4.22,15.14,7.64,9.38,3.4,✅ WIN
2026-01-22,4.02,15.3,7.62,3.43,6.16,✅ WIN
2026-01-23,2.57,15.73,-0.68,0.74,4.57,✅ WIN
2026-01-26,2.35,15.26,2.8,6.94,8.47,✅ WIN
2026-01-27,2.36,15.98,3.41,1.82,6.63,✅ WIN
2026-01-28,2.74,16.3,1.61,3.7,3.28,✅ WIN
2026-01-29,5.58,16.47,-3.9,0.59,1.42,✅ WIN
2026-01-30,2.67,15.62,1.43,3.61,5.72,✅ WIN
2026-02-03,2.13,16.53,-1.53,-5.88,-5.53,❌ LOS
2026-02-04,2.55,16.56,2.06,-5.46,-9.45,❌ LOS
2026-02-09,2.21,16.32,-5.3,1.43,-6.91,❌ LOS
2026-04-10,4.03,16.49,4.83,1.24,-1.95,❌ LOS
2026-04-13,3.58,16.97,2.12,-2.18,-2.18,❌ LOS
2026-04-14,3.38,17.19,-1.3,-4.36,-3.68,❌ LOS
2026-04-15,2.4,17.13,-0.62,-10.05,-4.43,❌ LOS
2026-04-17,3.4,17.29,-3.43,-9.0,-8.21,❌ LOS
