Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-12,11.68,74.45,2.82,1.93,5.61,✅ WIN
2025-05-13,14.34,76.11,0.23,-0.74,2.91,✅ WIN
2025-05-15,12.23,76.61,-2.17,-1.49,1.26,✅ WIN
2025-09-22,12.11,93.84,-1.21,1.32,1.32,✅ WIN
2026-04-16,12.16,98.99,2.6,4.23,16.36,✅ WIN
2026-04-17,19.92,100.7,3.44,4.12,12.53,✅ WIN
2026-04-20,18.2,101.14,3.14,3.77,10.86,✅ WIN
2026-04-21,10.9,101.02,1.63,5.73,10.39,✅ WIN
2026-04-22,11.59,103.03,0.1,6.34,10.48,✅ WIN
2026-04-23,11.59,101.57,1.59,7.81,12.72,✅ WIN
2026-04-24,12.27,104.16,0.66,7.95,11.13,✅ WIN
2026-04-27,13.11,104.32,0.6,9.01,13.16,✅ WIN
