Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,7.75,197.98,-0.04,-1.38,-1.92,❌ LOS
2025-01-31,7.98,197.17,-0.19,0.81,-0.49,❌ LOS
2025-02-03,8.54,196.64,0.73,1.3,-1.75,❌ LOS
2025-02-05,9.22,198.79,-0.3,0.14,-3.01,❌ LOS
2025-05-12,18.14,193.09,1.23,0.42,2.17,✅ WIN
2025-05-27,7.89,193.89,1.1,1.75,2.24,✅ WIN
2025-07-01,7.88,202.76,0.34,-0.32,0.78,✅ WIN
2025-07-02,8.62,203.14,0.38,0.08,-0.19,❌ LOS
2025-07-07,8.43,203.17,-0.1,-0.15,0.15,✅ WIN
2025-07-10,7.76,203.92,-0.3,0.41,-0.6,❌ LOS
2025-09-09,7.86,209.22,1.25,1.64,2.58,✅ WIN
2025-09-11,8.9,213.04,-0.41,-0.98,0.55,✅ WIN
2025-09-22,14.25,213.1,-0.52,0.95,0.72,✅ WIN
2025-10-30,8.14,215.19,-1.13,-0.06,2.23,✅ WIN
2025-12-10,8.08,220.09,-1.7,0.23,1.29,✅ WIN
2025-12-11,11.64,221.74,-2.26,-0.47,0.92,✅ WIN
2025-12-12,7.89,219.39,-0.64,0.31,1.63,✅ WIN
2026-04-17,11.72,226.49,-0.28,0.43,0.85,✅ WIN
2026-04-20,13.62,226.36,-0.59,-0.18,1.38,✅ WIN
2026-04-23,9.66,226.82,0.4,0.14,1.43,✅ WIN
