Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-09,38.15,159.08,0.5,5.29,0.83,✅ WIN
2026-01-05,33.93,178.62,-0.53,2.3,6.48,✅ WIN
2026-01-07,42.99,181.88,1.44,1.65,6.24,✅ WIN
2026-01-08,44.87,189.26,-3.52,-2.21,6.59,✅ WIN
2026-03-03,32.4,216.68,-0.32,8.38,13.49,✅ WIN
2026-03-05,62.44,226.95,3.41,6.16,7.04,✅ WIN
2026-03-06,32.69,223.57,2.65,6.78,9.33,✅ WIN
2026-03-09,32.69,214.93,7.7,9.93,16.46,✅ WIN
2026-03-11,34.51,229.96,3.21,1.51,1.75,✅ WIN
2026-03-12,48.16,234.69,2.65,5.23,1.28,✅ WIN
2026-03-13,35.52,229.5,4.02,10.29,4.98,✅ WIN
2026-03-18,32.33,237.33,-1.64,1.26,1.38,✅ WIN
2026-03-19,40.1,240.93,2.51,0.83,-7.61,❌ LOS
2026-03-20,100.22,238.73,6.03,2.38,-5.66,❌ LOS
2026-03-27,33.48,253.12,-3.44,-4.81,-6.32,❌ LOS
