Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-23,4.8,6.85,9.2,30.51,112.99,✅ WIN
2025-02-05,4.78,8.51,32.9,72.5,41.83,✅ WIN
2025-02-06,5.11,8.94,31.43,63.2,28.3,✅ WIN
2025-02-10,8.68,10.37,16.3,30.67,14.85,✅ WIN
2025-02-11,5.94,9.97,30.79,29.19,10.33,✅ WIN
2025-02-12,9.98,11.31,29.8,5.31,-8.05,❌ LOS
2025-02-13,5.7,11.75,24.17,-0.17,-0.85,❌ LOS
2025-02-14,9.4,11.54,15.16,-13.69,-1.39,❌ LOS
2025-02-18,9.89,12.06,12.35,-11.19,-9.29,❌ LOS
2025-02-19,13.12,13.04,-1.23,-4.37,-24.46,❌ LOS
2025-02-20,16.97,14.68,-18.87,-17.78,-39.65,❌ LOS
2025-02-21,11.48,14.59,-19.6,-21.38,-40.3,❌ LOS
2025-02-24,8.72,13.29,-25.06,-14.0,-32.36,❌ LOS
2025-02-25,4.47,13.55,-20.96,-12.1,-37.42,❌ LOS
2025-07-15,4.78,9.04,-10.51,-8.41,-13.72,❌ LOS
2025-09-24,3.62,10.37,3.76,-4.63,-12.54,❌ LOS
2025-09-25,4.1,11.13,0.99,-13.93,-15.63,❌ LOS
2026-01-12,4.88,11.38,-16.7,-0.35,6.06,✅ WIN
2026-01-14,4.79,11.94,-12.81,-7.87,17.5,✅ WIN
2026-02-11,5.12,13.54,-8.05,-15.88,-21.94,❌ LOS
2026-02-12,7.08,14.03,-15.54,-23.16,-25.09,❌ LOS
