Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-25,31.32,233.99,-0.5,-0.71,3.18,✅ WIN
2025-04-25,42.42,267.93,4.14,3.16,2.83,✅ WIN
2025-04-28,43.29,271.27,3.03,1.23,-2.13,❌ LOS
2025-04-29,35.65,273.4,1.75,-0.87,-3.05,❌ LOS
2025-04-30,43.54,277.09,1.86,-2.03,-4.5,❌ LOS
2025-05-01,40.19,274.71,1.97,0.69,-2.32,❌ LOS
2025-05-02,40.46,279.03,-0.94,-0.33,-2.74,❌ LOS
2025-05-05,36.46,279.48,-1.74,-0.45,-2.82,❌ LOS
2025-05-06,34.74,278.17,-2.57,-0.57,-2.82,❌ LOS
2025-05-07,47.43,282.26,-3.82,-1.93,-3.04,❌ LOS
2025-05-08,34.5,280.13,-1.25,-0.91,0.21,✅ WIN
2025-05-09,35.56,276.39,0.61,-0.32,-0.27,❌ LOS
2025-05-12,47.49,274.61,1.31,-3.32,-0.12,❌ LOS
2025-07-25,33.47,301.16,-13.22,-11.09,-11.6,❌ LOS
2026-04-06,31.62,272.98,-1.12,0.47,-0.13,❌ LOS
2026-04-07,37.42,273.22,-2.33,-1.81,0.37,✅ WIN
2026-05-18,30.34,303.61,0.78,-2.33,-10.06,❌ LOS
2026-05-21,40.92,305.03,-6.72,-3.6,-19.04,❌ LOS
2026-05-22,40.85,309.09,-4.33,-8.58,-20.25,❌ LOS
2026-07-24,36.91,279.18,3.58,5.2,0.94,✅ WIN
2026-08-10,31.69,292.48,-7.01,-0.58,-3.52,❌ LOS
