Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-19,62.02,140.66,-6.53,-7.11,-19.01,❌ LOS
2024-11-21,51.98,141.21,-9.82,-5.37,-15.13,❌ LOS
2025-01-22,55.34,148.34,-25.66,-19.89,-29.45,❌ LOS
2025-01-23,54.34,153.24,-25.34,-22.11,-37.46,❌ LOS
2026-02-11,223.43,248.45,-2.19,4.31,6.79,✅ WIN
2026-02-12,95.71,236.45,3.06,7.77,9.46,✅ WIN
2026-02-13,49.9,234.47,4.64,9.9,12.88,✅ WIN
2026-02-17,50.0,243.47,3.95,0.37,10.24,✅ WIN
2026-02-24,51.42,253.09,-3.44,6.68,7.03,✅ WIN
2026-02-25,77.02,262.13,-4.16,2.32,5.35,✅ WIN
2026-02-26,98.48,259.17,-3.66,2.37,-2.61,❌ LOS
2026-02-27,56.54,254.83,-5.14,1.57,-1.48,❌ LOS
2026-03-09,54.06,264.29,0.15,-3.14,-0.75,❌ LOS
