Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-30,11.43,168.93,-0.72,1.63,0.01,✅ WIN
2025-01-27,9.9,172.87,-0.81,-0.43,-0.38,❌ LOS
2025-01-31,8.42,171.98,-0.28,0.38,-0.12,❌ LOS
2025-02-03,9.14,171.48,0.38,1.23,-1.84,❌ LOS
2025-02-05,7.38,172.84,-0.61,0.46,-2.63,❌ LOS
2025-07-01,8.44,175.77,-0.17,-0.89,0.08,✅ WIN
2025-07-02,8.86,175.9,0.4,-0.41,-0.92,❌ LOS
2025-12-11,9.12,191.09,-1.18,0.33,2.47,✅ WIN
2025-12-12,7.35,190.46,-0.62,0.57,2.65,✅ WIN
2026-01-13,13.06,195.51,0.95,0.86,5.21,✅ WIN
2026-01-21,8.22,197.37,-0.09,2.59,3.86,✅ WIN
2026-02-06,7.35,205.26,-0.13,-0.56,-2.87,❌ LOS
2026-02-09,8.34,204.89,-0.08,0.07,-2.96,❌ LOS
2026-02-11,7.67,205.69,-0.34,0.05,-4.75,❌ LOS
2026-02-12,9.82,203.49,1.11,1.3,-3.59,❌ LOS
2026-02-13,9.89,205.0,-0.43,0.33,-3.57,❌ LOS
2026-02-17,8.97,204.72,0.15,-0.77,-3.17,❌ LOS
2026-02-18,7.63,205.4,0.05,-0.75,-4.74,❌ LOS
2026-02-20,8.41,205.74,0.18,-3.31,-5.97,❌ LOS
