Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-30,4.11,59.95,-2.56,-0.6,2.6,✅ WIN
2024-10-02,6.65,61.56,-1.54,-2.08,-4.0,❌ LOS
2025-05-12,4.34,63.59,1.72,2.73,4.28,✅ WIN
2025-05-20,4.01,64.88,-0.19,1.18,1.02,✅ WIN
2025-05-27,4.08,65.32,-0.15,1.51,1.56,✅ WIN
2025-09-23,4.82,71.94,0.16,1.23,1.2,✅ WIN
2025-12-10,4.13,74.48,-1.28,1.41,4.39,✅ WIN
2025-12-11,6.13,74.68,-0.74,1.46,5.07,✅ WIN
2025-12-23,4.67,75.47,-0.15,2.29,5.27,✅ WIN
2026-01-05,4.73,77.27,1.55,0.49,3.83,✅ WIN
2026-01-12,4.14,78.47,-1.04,3.25,4.84,✅ WIN
2026-01-21,4.51,78.52,2.72,2.1,4.81,✅ WIN
2026-01-27,4.02,81.02,-0.97,1.54,3.82,✅ WIN
2026-01-28,5.42,80.66,-0.61,2.79,3.99,✅ WIN
2026-01-29,4.34,80.87,-2.05,1.46,3.53,✅ WIN
2026-02-11,4.32,82.9,-0.74,1.17,-6.65,❌ LOS
2026-02-26,4.62,83.87,-6.24,-7.73,-10.34,❌ LOS
