Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,3.62,39.18,-0.34,-3.82,-9.5,❌ LOS
2025-02-25,3.97,39.63,-1.92,-0.64,-0.5,❌ LOS
2025-03-03,4.03,39.77,5.97,-0.5,3.4,✅ WIN
2025-03-07,9.51,41.76,-5.41,-4.49,-6.58,❌ LOS
2025-03-10,7.89,42.15,-6.11,-6.3,-8.41,❌ LOS
2026-01-30,16.4,43.13,4.02,10.09,12.26,✅ WIN
2026-02-02,7.59,43.21,5.4,9.68,14.03,✅ WIN
2026-02-03,10.98,44.8,2.46,3.89,10.7,✅ WIN
2026-02-04,8.2,45.54,4.17,3.47,8.87,✅ WIN
2026-02-05,8.07,45.62,5.01,4.56,8.54,✅ WIN
2026-02-06,6.0,44.86,5.83,7.28,8.94,✅ WIN
2026-02-09,5.15,45.55,4.06,6.04,7.85,✅ WIN
2026-02-10,6.39,45.91,1.39,3.88,6.94,✅ WIN
2026-02-11,11.37,47.44,-0.67,-0.16,3.39,✅ WIN
2026-02-12,12.63,47.91,-0.42,1.37,3.88,✅ WIN
2026-02-13,6.54,47.47,1.37,1.98,4.0,✅ WIN
2026-02-17,5.15,47.4,1.9,3.96,3.25,✅ WIN
2026-02-18,5.23,46.54,2.46,6.56,3.2,✅ WIN
2026-02-19,5.03,47.12,0.51,5.22,1.73,✅ WIN
