Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-09,25.31,282.48,1.71,1.06,-4.14,❌ LOS
2024-09-20,28.38,281.64,-3.37,-2.4,2.05,✅ WIN
2024-11-06,27.94,304.03,0.87,0.19,0.74,✅ WIN
2024-11-18,24.65,309.32,0.33,0.27,1.97,✅ WIN
2024-11-25,45.43,310.34,-0.06,-0.26,2.38,✅ WIN
2025-01-27,24.6,331.5,3.37,4.99,5.42,✅ WIN
2025-01-30,42.51,339.93,1.29,3.84,5.91,✅ WIN
2025-01-31,45.64,338.69,1.82,3.69,6.04,✅ WIN
2025-02-03,48.93,342.67,1.56,3.33,2.02,✅ WIN
2025-02-04,30.85,342.01,1.78,3.09,2.35,✅ WIN
2025-02-05,26.59,346.26,0.76,0.47,-1.35,❌ LOS
2025-02-10,27.94,348.04,1.74,0.41,-5.28,❌ LOS
2025-02-11,24.65,348.11,1.29,-0.03,-5.1,❌ LOS
2025-02-12,27.58,348.88,-0.28,1.21,-6.53,❌ LOS
2025-02-28,37.59,360.02,-4.79,-8.52,-5.48,❌ LOS
2025-05-12,30.7,353.21,3.56,1.14,4.35,✅ WIN
2025-05-15,26.61,360.21,-1.2,0.8,-2.61,❌ LOS
2025-05-16,27.71,363.01,-3.17,0.05,-2.64,❌ LOS
2025-05-19,23.3,365.77,-2.34,-0.55,-2.73,❌ LOS
2025-12-11,30.78,344.92,0.11,2.71,-0.7,❌ LOS
2025-12-19,36.28,348.53,1.53,2.38,-6.86,❌ LOS
