Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-01,60.69,130.42,-7.21,-7.77,8.26,✅ WIN
2025-12-19,73.11,180.99,-0.77,21.15,33.59,✅ WIN
2026-01-06,98.81,219.28,-2.45,10.27,22.81,✅ WIN
2026-01-21,79.19,241.78,15.63,11.37,17.68,✅ WIN
2026-01-22,79.99,243.17,14.44,6.95,17.36,✅ WIN
2026-01-28,141.92,279.57,-3.68,-2.13,0.91,✅ WIN
2026-01-29,148.29,278.28,-6.54,2.04,0.46,✅ WIN
2026-01-30,90.52,250.11,12.93,12.53,7.93,✅ WIN
2026-02-02,81.41,270.1,5.83,5.14,-7.26,❌ LOS
2026-02-03,103.8,290.1,-9.54,2.18,-9.97,❌ LOS
2026-02-04,66.31,269.28,1.61,5.66,-3.81,❌ LOS
2026-02-12,64.18,283.96,0.5,-1.55,-4.11,❌ LOS
