Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,0.21,3.17,-3.33,-5.0,-0.15,❌ LOS
2024-11-06,0.25,3.28,0.73,0.88,5.87,✅ WIN
2024-11-11,0.35,3.37,-4.29,1.0,3.43,✅ WIN
2024-11-20,0.21,3.31,2.18,4.94,7.85,✅ WIN
2024-11-22,0.51,3.36,1.15,2.87,3.72,✅ WIN
2024-11-25,0.36,3.4,0.14,2.4,2.69,✅ WIN
2024-12-05,0.22,3.47,0.83,2.77,-3.88,❌ LOS
2024-12-09,0.21,3.45,2.51,0.84,-2.23,❌ LOS
2025-01-22,0.23,3.52,2.48,3.31,1.36,✅ WIN
2025-01-23,0.28,3.6,0.29,0.83,-5.16,❌ LOS
2025-01-24,0.33,3.63,-0.78,-0.78,-7.81,❌ LOS
2025-01-27,0.21,3.52,2.48,2.76,-5.88,❌ LOS
2025-01-28,0.42,3.58,1.92,0.82,-7.67,❌ LOS
2025-01-29,1.01,3.61,0.82,-1.36,-8.7,❌ LOS
2025-01-30,0.22,3.61,0.54,-1.36,-11.14,❌ LOS
2025-02-03,0.3,3.61,0.27,0.0,-12.5,❌ LOS
2025-02-04,0.28,3.65,-1.08,-1.34,-10.75,❌ LOS
2025-02-05,0.37,3.64,-2.16,-1.89,-11.59,❌ LOS
2025-02-06,0.33,3.63,-1.89,-5.95,-11.89,❌ LOS
2025-12-19,0.84,3.06,-5.56,-5.23,-15.03,❌ LOS
2026-03-10,0.21,2.55,-12.94,-17.65,-11.76,❌ LOS
