Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-02,18.34,91.69,-2.94,0.07,-2.67,❌ LOS
2025-06-05,16.56,91.45,-1.29,-2.63,1.11,✅ WIN
2025-09-19,27.15,107.48,1.29,1.87,-2.84,❌ LOS
2025-12-11,22.3,117.14,-1.59,5.88,9.47,✅ WIN
2025-12-12,28.33,117.34,1.85,-0.13,11.29,✅ WIN
2025-12-19,18.94,119.51,-1.94,4.85,14.96,✅ WIN
2026-01-16,15.06,135.14,9.24,-2.32,5.16,✅ WIN
2026-01-20,45.61,141.46,5.43,-3.46,2.22,✅ WIN
2026-01-21,24.84,137.39,13.58,1.9,5.62,✅ WIN
2026-01-22,30.22,143.47,6.26,-8.91,4.65,✅ WIN
2026-01-23,32.74,145.93,-9.78,-6.96,6.64,✅ WIN
2026-01-26,49.48,147.63,-10.58,-3.44,6.44,✅ WIN
2026-01-27,30.78,149.14,-8.43,-3.2,5.39,✅ WIN
2026-01-28,53.39,156.05,-10.28,-4.6,3.02,✅ WIN
2026-01-29,45.81,152.46,-14.28,-8.86,7.17,✅ WIN
2026-02-26,19.86,160.77,-8.19,-9.5,-26.13,❌ LOS
2026-02-27,19.51,163.39,-10.27,-14.53,-23.8,❌ LOS
2026-03-02,26.21,165.46,-10.72,-16.01,-25.36,❌ LOS
