Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-03-07,0.69,10.22,-8.09,-6.37,-10.86,❌ LOS
2025-10-24,0.66,8.53,4.01,1.45,-6.13,❌ LOS
2025-10-28,1.27,9.03,-4.85,-6.11,-9.17,❌ LOS
2025-10-29,0.82,9.08,-7.02,-6.6,-9.12,❌ LOS
2025-10-30,0.6,8.96,-1.49,-4.99,-6.69,❌ LOS
2025-10-31,0.48,8.88,-2.47,-5.36,-7.4,❌ LOS
2025-11-06,0.54,8.83,-3.56,-11.96,-2.59,❌ LOS
2025-12-10,0.87,9.0,2.01,1.33,5.01,✅ WIN
2025-12-11,0.67,9.14,0.0,0.28,1.45,✅ WIN
2025-12-12,1.51,9.33,-2.55,-2.6,-3.85,❌ LOS
2025-12-15,0.86,9.12,-0.37,-0.58,0.49,✅ WIN
2025-12-16,0.48,9.14,-1.53,-0.68,1.45,✅ WIN
2025-12-17,0.57,9.18,-0.67,-1.94,-1.52,❌ LOS
2025-12-19,0.83,9.09,-0.05,3.91,-0.59,❌ LOS
2026-02-04,0.5,9.64,0.2,-4.45,-1.82,❌ LOS
2026-02-05,0.7,9.78,-2.19,-7.58,-2.89,❌ LOS
2026-02-06,1.18,10.03,-6.61,-10.41,-5.54,❌ LOS
2026-02-09,0.8,9.73,-5.41,-6.21,-2.51,❌ LOS
2026-02-10,0.54,9.86,-4.55,-4.06,-2.77,❌ LOS
