Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-09,13.09,106.06,1.3,0.98,2.6,✅ WIN
2025-10-15,14.42,107.91,-0.97,2.39,5.3,✅ WIN
2025-10-16,15.15,107.45,-0.32,3.71,3.71,✅ WIN
2026-04-14,17.06,135.59,0.49,-3.36,-0.6,❌ LOS
2026-04-17,18.77,138.53,-3.89,-5.95,-5.75,❌ LOS
2026-06-22,22.79,145.86,8.54,12.35,5.92,✅ WIN
2026-06-23,21.92,147.03,7.63,10.84,3.46,✅ WIN
2026-06-24,27.95,149.71,4.57,9.73,1.68,✅ WIN
2026-06-25,22.07,151.59,5.85,4.91,-0.73,❌ LOS
2026-06-26,29.31,155.38,3.49,-0.03,-3.08,❌ LOS
2026-06-29,35.62,158.31,3.51,-1.81,-5.39,❌ LOS
2026-06-30,23.07,158.25,2.98,-1.28,-6.53,❌ LOS
2026-07-01,20.26,156.55,4.94,-2.91,-3.25,❌ LOS
2026-07-02,26.6,160.46,-0.89,-3.86,-8.38,❌ LOS
2026-07-06,19.91,160.81,-3.4,-6.14,-8.4,❌ LOS
2026-07-07,25.8,163.87,-5.14,-5.72,-7.32,❌ LOS
2026-07-08,28.46,162.97,-4.14,-6.66,-6.11,❌ LOS
2026-07-09,18.28,164.28,-7.48,-7.34,-5.95,❌ LOS
2026-07-10,20.34,159.03,-3.0,-5.38,-1.04,❌ LOS
