Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-16,3.06,46.39,-0.78,-0.74,4.82,✅ WIN
2024-10-17,3.09,46.52,-0.97,-2.37,4.26,✅ WIN
2024-11-06,7.01,48.41,0.44,-0.02,1.74,✅ WIN
2024-11-11,3.75,48.75,0.26,2.35,-0.38,❌ LOS
2024-11-12,3.23,48.6,-0.1,2.85,0.12,✅ WIN
2024-11-21,3.69,49.02,2.33,0.46,-3.31,❌ LOS
2024-11-22,3.81,49.57,0.2,-2.01,-4.15,❌ LOS
2024-11-25,4.11,49.89,-1.19,-2.66,-3.64,❌ LOS
2025-01-27,4.29,50.44,-0.29,0.0,-0.88,❌ LOS
2025-01-28,2.74,50.36,-0.35,0.43,-0.92,❌ LOS
2025-01-29,3.0,50.32,0.78,0.16,-0.29,❌ LOS
2025-01-30,4.79,50.8,0.66,-0.14,0.79,✅ WIN
2025-01-31,3.69,50.5,0.68,0.64,0.52,✅ WIN
2025-02-03,5.79,50.3,0.29,1.78,-2.61,❌ LOS
2025-05-12,3.85,50.1,1.47,0.12,0.37,✅ WIN
2025-05-13,2.79,50.3,0.51,-0.96,-0.16,❌ LOS
2025-05-15,2.87,50.5,-2.05,-0.62,-2.57,❌ LOS
2025-05-16,4.79,50.81,-2.99,-1.18,-2.05,❌ LOS
2025-12-11,4.29,54.4,-0.6,1.72,1.12,✅ WIN
2025-12-12,4.53,54.48,-0.2,1.03,-0.97,❌ LOS
2026-04-17,3.26,52.43,-1.93,-0.97,-2.54,❌ LOS
