Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-23,9.02,110.77,-1.62,-7.46,-0.66,❌ LOS
2024-09-26,9.0,112.58,-1.94,1.4,0.83,✅ WIN
2025-05-12,20.15,113.2,3.01,1.98,5.78,✅ WIN
2025-05-13,20.28,115.65,0.45,-0.59,3.32,✅ WIN
2025-05-14,13.64,116.4,-2.07,-1.07,3.6,✅ WIN
2025-05-15,11.78,116.56,-2.18,-1.51,2.01,✅ WIN
2025-05-16,10.36,116.78,-3.44,-0.83,3.47,✅ WIN
2025-05-19,14.11,116.61,-1.0,0.81,2.89,✅ WIN
2025-05-20,11.16,116.17,-1.04,1.34,3.4,✅ WIN
2025-05-21,12.53,113.99,1.02,2.99,4.91,✅ WIN
2025-05-27,10.58,115.44,1.83,3.73,7.56,✅ WIN
2025-06-30,7.93,126.1,1.21,1.85,4.29,✅ WIN
2025-07-07,7.94,126.95,0.28,2.48,2.89,✅ WIN
2025-07-08,9.01,127.63,0.63,0.98,1.49,✅ WIN
2025-07-09,9.17,128.39,0.34,0.95,2.02,✅ WIN
2025-09-11,7.79,134.98,1.87,2.69,7.2,✅ WIN
2025-09-22,9.88,140.94,-0.82,1.75,1.96,✅ WIN
2025-09-23,8.22,139.72,0.59,1.95,2.9,✅ WIN
2025-09-25,8.15,138.62,2.94,4.39,3.99,✅ WIN
2025-10-29,7.7,151.65,-2.97,-3.36,-6.69,❌ LOS
2025-10-30,10.51,149.78,-3.74,-4.59,-4.72,❌ LOS
