Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-20,15.73,111.16,-4.64,-3.13,-5.8,❌ LOS
2026-01-14,15.66,128.47,2.64,7.92,15.92,✅ WIN
2026-01-21,14.07,131.83,2.97,10.46,13.75,✅ WIN
2026-01-22,12.71,131.86,5.14,9.31,10.94,✅ WIN
2026-01-28,16.18,135.75,7.28,13.07,8.69,✅ WIN
2026-01-29,31.0,138.64,3.96,7.42,9.26,✅ WIN
2026-01-30,23.83,139.52,5.41,5.69,9.79,✅ WIN
2026-02-02,17.25,136.56,9.26,6.33,10.43,✅ WIN
2026-02-03,29.21,141.82,5.47,5.53,4.93,✅ WIN
2026-02-04,23.3,145.62,5.4,2.97,2.83,✅ WIN
2026-02-05,13.88,144.13,3.32,1.49,4.2,✅ WIN
2026-02-06,15.12,147.06,0.26,1.82,1.61,✅ WIN
2026-02-09,20.09,149.2,-2.68,-0.63,-1.38,❌ LOS
2026-02-10,12.93,149.57,0.06,-1.01,0.66,✅ WIN
2026-02-11,22.53,153.49,-2.3,-3.88,-0.65,❌ LOS
2026-02-12,19.96,148.92,-1.77,1.71,4.13,✅ WIN
2026-03-24,16.24,164.27,2.59,-5.54,-9.6,❌ LOS
2026-03-27,25.29,169.84,-4.46,-10.73,-13.33,❌ LOS
2026-03-30,26.7,170.31,-4.41,-12.96,-12.19,❌ LOS
2026-03-31,21.38,168.52,-7.92,-12.17,-8.84,❌ LOS
2026-05-15,14.18,157.92,-1.9,-5.41,-10.76,❌ LOS
