Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-07,8.84,23.4,11.75,14.66,19.16,✅ WIN
2024-08-09,7.07,24.77,9.36,11.18,17.99,✅ WIN
2024-08-15,8.86,27.17,-1.13,5.18,7.19,✅ WIN
2024-08-16,7.15,27.09,1.66,7.5,10.59,✅ WIN
2024-09-20,14.74,31.58,-0.64,-5.18,9.74,✅ WIN
2025-08-21,6.61,34.22,6.19,0.55,9.68,✅ WIN
2025-11-07,9.78,35.68,1.58,-0.64,-9.73,❌ LOS
2025-11-13,7.76,37.62,-10.67,-6.68,8.38,✅ WIN
2025-12-12,18.01,40.77,-9.98,-14.02,-17.31,❌ LOS
2026-02-25,75.81,46.16,4.06,-2.96,18.03,✅ WIN
2026-02-26,24.72,46.76,0.64,-4.18,14.19,✅ WIN
2026-02-27,24.85,48.27,-5.06,-7.54,-1.72,❌ LOS
2026-03-02,13.56,47.68,-3.77,-1.94,2.88,✅ WIN
2026-03-03,13.69,48.55,-5.5,-0.93,-0.29,❌ LOS
2026-03-04,12.4,48.03,-6.75,1.05,2.2,✅ WIN
2026-03-05,11.32,47.06,-4.78,3.67,9.13,✅ WIN
2026-03-06,8.52,45.83,-2.62,5.0,12.96,✅ WIN
2026-03-09,7.55,45.88,1.9,16.52,14.69,✅ WIN
2026-03-10,8.96,45.88,4.84,16.67,9.87,✅ WIN
