Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-06,43.6,139.94,3.29,3.78,13.39,✅ WIN
2025-02-07,20.78,139.5,3.03,5.14,10.64,✅ WIN
2025-02-10,35.88,143.97,-0.69,4.54,6.27,✅ WIN
2025-02-11,21.03,142.51,1.12,3.8,5.78,✅ WIN
2025-02-12,17.1,142.37,3.04,5.41,5.21,✅ WIN
2025-02-13,17.64,144.55,0.47,5.62,4.73,✅ WIN
2025-02-14,13.35,143.73,2.05,6.6,6.74,✅ WIN
2025-02-18,14.45,142.97,5.27,8.18,7.42,✅ WIN
2025-02-19,11.07,144.1,2.65,7.98,6.72,✅ WIN
2025-02-20,19.68,146.7,2.3,6.0,5.08,✅ WIN
2025-02-21,16.09,145.23,5.12,9.26,5.38,✅ WIN
2025-02-24,16.89,146.68,4.46,5.23,3.72,✅ WIN
2025-02-25,26.74,150.5,2.76,1.65,1.07,✅ WIN
2025-02-26,16.48,147.92,5.19,1.91,4.74,✅ WIN
2025-02-28,16.3,152.67,3.94,-0.84,-0.39,❌ LOS
2025-03-04,17.78,154.66,-1.08,-0.7,0.32,✅ WIN
2025-03-05,11.14,155.6,-3.12,-1.17,-0.72,❌ LOS
2025-03-07,20.76,158.69,-4.6,-3.56,-9.04,❌ LOS
2025-03-10,12.34,154.35,-0.61,-1.44,-8.32,❌ LOS
2025-11-21,11.29,150.82,-1.53,-6.39,1.98,✅ WIN
2026-02-23,12.62,165.64,-2.12,-3.97,-4.75,❌ LOS
