Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-03-10,5.35,108.98,1.03,0.53,-5.05,❌ LOS
2025-08-20,7.64,104.61,1.02,-0.9,-5.2,❌ LOS
2025-08-21,4.8,103.33,0.61,1.25,-4.15,❌ LOS
2025-08-22,5.54,106.59,-1.49,-2.79,-5.54,❌ LOS
2025-08-25,7.23,106.2,-2.15,-3.23,-6.55,❌ LOS
2025-08-26,9.41,106.42,-2.32,-4.87,-7.96,❌ LOS
2025-10-22,5.04,103.15,-4.11,-15.8,-13.97,❌ LOS
2025-11-04,5.26,102.36,-14.23,-13.67,-9.77,❌ LOS
2026-02-17,5.22,96.63,2.8,0.84,-4.77,❌ LOS
2026-02-18,5.9,97.72,1.63,-2.54,-9.33,❌ LOS
2026-02-19,7.19,98.72,1.75,-5.84,-9.48,❌ LOS
2026-02-24,4.5,99.34,-1.9,-8.18,-13.57,❌ LOS
2026-02-27,4.83,97.91,-4.4,-5.32,-10.03,❌ LOS
2026-03-02,4.98,98.96,-6.24,-6.22,-10.93,❌ LOS
2026-04-14,5.91,96.26,-3.97,-14.21,-13.62,❌ LOS
