Rank,Ticker,Company,WR_5,WR_10,WR_20,AVG_5,AVG_10,AVG_20,AvgWin_5,AvgLoss_5,AvgWin_10,AvgLoss_10,AvgWin_20,AvgLoss_20,Sample,Edge_Score,Characteristic,Sample_Score,Cluster_Score,Stability_Score,Quality_Score,Sniper_Score,Sharia
1,CVE,Cenovus Energy Inc.,68.75,100.0,93.75,1.75,5.47,10.47,3.78,-2.7,5.47,0.0,11.31,-2.2,16,5.4962,COMPOUNDER,0.5657,0.5,0.776,0.6139,79.45,Not Halal
2,E,Eni S.p.A.,71.43,71.43,100.0,1.6,5.72,11.86,2.69,-1.13,8.34,-0.84,11.86,0.0,7,5.6962,COMPOUNDER,0.3742,0.5714,0.769,0.5715,77.48,Not Halal
3,OXY,Occidental Petroleum Corporation,66.67,100.0,100.0,1.43,6.09,19.58,2.34,-0.38,6.09,0.0,19.58,0.0,6,8.8745,COMPOUNDER,0.3464,0.1667,0.9237,0.4789,73.81,Not Halal
4,HAL,Halliburton Company,61.11,88.89,100.0,1.64,3.06,7.03,3.72,-1.62,3.79,-2.81,7.03,0.0,18,3.5841,COMPOUNDER,0.6,0.2222,0.8474,0.5565,73.63,Not Halal
5,XLE,State Street Energy Select Sector SPDR ETF,63.16,84.21,84.21,1.08,3.22,6.9,2.7,-1.68,4.63,-4.3,9.17,-5.17,19,3.0681,COMPOUNDER,0.6164,0.5263,0.5949,0.5792,73.23,Not Covered
6,SU,Suncor Energy Inc.,80.0,80.0,86.67,1.19,3.11,6.5,2.41,-3.7,5.19,-5.23,8.02,-3.38,15,3.0245,COMPOUNDER,0.5477,0.5333,0.6127,0.5646,72.36,Halal
7,DVN,Devon Energy Corporation,66.67,58.33,100.0,2.36,3.0,6.8,4.94,-2.8,6.42,-1.77,6.8,0.0,12,3.3744,COMPOUNDER,0.4899,0.25,0.8306,0.5235,71.41,Not Halal
8,COP,ConocoPhillips,40.0,90.0,90.0,-0.79,1.57,8.03,0.54,-1.67,3.45,-15.34,10.49,-14.1,10,2.7747,COMPOUNDER,0.4472,0.5,0.6499,0.5324,69.83,Halal
9,XOM,Exxon Mobil Corporation,72.22,72.22,72.22,2.25,3.42,4.4,4.07,-2.47,5.7,-2.5,7.47,-3.59,18,2.4242,COMPOUNDER,0.6,0.2778,0.6434,0.5071,67.07,Halal
10,TTE,TotalEnergies SE,69.23,76.92,76.92,0.65,2.57,6.02,2.4,-3.3,4.7,-4.53,8.39,-1.89,13,2.3525,COMPOUNDER,0.5099,0.3846,0.5106,0.4684,64.8,Not Halal
11,DELL,Dell Technologies Inc.,41.67,58.33,83.33,0.31,0.84,7.27,5.93,-3.7,3.07,-2.29,9.82,-5.52,12,2.2257,COMPOUNDER,0.4899,0.3333,0.5812,0.4681,64.16,Not Halal
12,CVX,Chevron Corporation,58.33,75.0,83.33,0.64,0.4,4.1,2.23,-1.58,2.98,-7.33,7.02,-10.52,12,1.3633,STEADY,0.4899,0.5833,0.4978,0.5237,61.82,Halal
13,LYB,LyondellBasell Industries N.V.,50.0,25.0,25.0,-1.33,2.41,6.06,1.66,-4.31,19.86,-3.4,30.95,-2.23,4,0.4842,COMPOUNDER,0.2828,1.0,0.3835,0.5554,56.77,Not Halal
14,EQNR,Equinor ASA,40.0,40.0,40.0,-3.63,0.61,9.06,2.46,-7.69,14.66,-8.76,33.62,-7.31,5,0.8053,COMPOUNDER,0.3162,0.4,0.3105,0.3422,48.66,Not Halal
15,FANG,"Diamondback Energy, Inc.",53.85,53.85,61.54,-0.95,-0.75,2.51,1.9,-4.26,3.79,-6.05,10.16,-9.74,13,0.2097,COMPOUNDER,0.5099,0.5385,0.1809,0.4098,47.23,Not Halal
16,DOCN,"DigitalOcean Holdings, Inc.",50.0,40.0,60.0,-2.23,-1.56,2.74,2.99,-7.45,5.49,-6.26,8.52,-5.94,10,-0.0317,COMPOUNDER,0.4472,0.6,0.4147,0.4873,24.11,Not Halal
17,SEDG,"SolarEdge Technologies, Inc.",15.38,15.38,69.23,-8.9,-8.9,2.53,3.5,-11.15,3.55,-11.16,11.64,-17.98,13,-0.3287,COMPOUNDER,0.5099,0.5385,0.5345,0.5276,23.5,Not Covered
18,ARM,Arm Holdings plc,23.08,30.77,7.69,-4.22,-3.11,-10.59,1.13,-5.83,2.97,-5.82,8.19,-12.16,13,-0.9151,ERRATIC,0.5099,0.3846,0.6796,0.5247,18.47,Halal
19,DOW,Dow Inc.,42.86,0.0,28.57,0.07,-2.88,-3.3,1.89,-1.29,0.0,-2.88,10.42,-8.78,7,-1.2643,BURST,0.3742,0.4286,0.3751,0.3926,11.81,Not Halal
